"Created-At","From-User","From-User-Id","To-User","To-User-Id","Language","Source","Text","Geo-Location-Latitude","Geo-Location-Longitude","Retweet-Count","Id"
6/14/23 7:08 PM,"FNATIC","19976791",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Tokyo, you ready for us? We're bringing a Watch Party all the way to you on the 18th! ??

Exclusive Fnatic Merch, all of the day's games screened, sign creation stations and more. RSVP here: https://t.co/tFDppFTr5m https://t.co/Yca1ZNuDKS",,,22.0,"1668938492808658945"
6/14/23 4:59 PM,"VALORANT????","1100128318471323648",,"-1","ja","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","?VCT 2023 Masters Tokyo??????????????????16?12???????
https://t.co/XQgnWg4Aie

#VALORANT #VALORANTMasters",,,26.0,"1668905900197961729"
6/14/23 11:15 AM,"Valorant News","1232012105877983237",,"-1","en","<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>","Drops are still active for #VALORANTMasters 

Make sure to link your Riot account with Twitch or YouTube to secure Drops.  

“UNPREDICTABLE” Title- Watch a live game between June 11th - 25th    

VCT Masters Tokyo Player Card- Watch a live game during the Grand Finals on June… https://t.co/Z7nTQI4dgd https://t.co/HWzeJZYWfA",,,9.0,"1668819314600734720"
6/14/23 9:25 PM,"EsportsCulture","1570807827291070465",,"-1","it","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","- VALORANT - VCT MASTERS TOKYO - Group Stage Day 4: Decider Match Group B: I DRX hanno la meglio sui FUT Esports 2 a 1 (9-13, 13-8, 13-4) eliminandoli e ottenendo il secondo posto nel gruppo, che vuol dire Playoffs. #VCTMastersTokyo #esportsnews #esports #VALORANT #VCTMasters",,,0.0,"1668972980548907008"
6/14/23 9:23 PM,"L","1052203689698459648",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @Lio4lu9: ?Valorant?????????
Masters?????????????????(6/14)
Masters Tokyo?Group Stage?????EG?NRG?DRX?EDG?Playoff?????
????EDG????????&?P…",,,5.0,"1668972402649473029"
6/14/23 9:21 PM,"K4ku","1378335847305465858",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @vctpacific: Meet Edward Gaming's VALORANT Team // VALORANT MASTERS TOKYO 2023

#VALORANTMasters #VALORANTChampionsTour #VALORANT #VCT h…",,,16.0,"1668971808861863937"
6/14/23 9:18 PM,"CGZ nolozy?","836116176686108672",,"-1","en","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @FNATIC: Tokyo, you ready for us? We're bringing a Watch Party all the way to you on the 18th! ??

Exclusive Fnatic Merch, all of the da…",,,22.0,"1668971169029165058"
6/14/23 9:17 PM,"miki","748717565120172032",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","VCT Masters Tokyo?
?????????????

?:6/20 1?
????

????????????

 #VALORANT 
#VALORANTMasters 
??#VCT",,,0.0,"1668971002150391808"
6/14/23 9:17 PM,"Sergei'sComrade","1062305081045921792",,"-1","en","<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>","RT @_SushantJha: The most outrageous stat you will ever see period.
VCT Masters Tokyo #VCTMasters 

Operator Kills on Attack:

?? Zmjjkk :…",,,91.0,"1668970972924485632"
6/14/23 9:12 PM,"Lil ivy","1428708732662288395",,"-1","ja","<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>","RT @Lio4lu9: ?Valorant?????????
Masters?????????????????(6/14)
Masters Tokyo?Group Stage?????EG?NRG?DRX?EDG?Playoff?????
????EDG????????&?P…",,,5.0,"1668969764637802499"
